iter	Passed	Remaining
0	136	136850
1	137	68856
2	138	46136
3	139	34755
4	140	27943
5	141	23412
6	142	20177
7	143	17739
8	144	15858
9	144	14344
10	145	13100
11	146	12066
12	147	11185
13	148	10430
14	148	9782
15	149	9211
16	150	8706
17	151	8257
18	152	7860
19	153	7502
20	154	7179
21	154	6885
22	155	6618
23	156	6371
24	157	6143
25	158	5937
26	159	5744
27	160	5562
28	161	5392
29	161	5235
30	162	5087
31	163	4947
32	164	4819
33	165	4697
34	166	4581
35	167	4473
36	167	4372
37	168	4270
38	169	4176
39	170	4086
40	171	4002
41	172	3923
42	172	3847
43	173	3777
44	174	3707
45	175	3641
46	176	3577
47	177	3516
48	178	3461
49	179	3405
50	180	3353
51	181	3302
52	182	3253
53	183	3206
54	184	3161
55	184	3116
56	185	3071
57	186	3030
58	187	2991
59	188	2953
60	189	2917
61	190	2880
62	191	2847
63	192	2814
64	193	2781
65	194	2749
66	195	2718
67	195	2681
68	196	2652
69	197	2626
70	198	2599
71	199	2573
72	200	2546
73	201	2520
74	202	2495
75	203	2472
76	204	2447
77	205	2424
78	206	2402
79	207	2380
80	208	2360
81	209	2339
82	209	2319
83	210	2299
84	211	2276
85	212	2258
86	213	2236
87	214	2218
88	214	2199
89	215	2181
90	216	2165
91	217	2148
92	218	2133
93	219	2116
94	220	2101
95	221	2085
96	222	2069
97	223	2055
98	224	2041
99	225	2027
100	226	2014
101	226	1996
102	227	1982
103	228	1969
104	229	1956
105	230	1943
106	231	1930
107	232	1918
108	233	1906
109	234	1896
110	235	1884
111	236	1872
112	237	1862
113	238	1851
114	239	1840
115	239	1827
116	240	1816
117	241	1806
118	242	1793
119	243	1783
120	244	1774
121	245	1764
122	245	1752
123	246	1743
124	247	1734
125	248	1725
126	249	1716
127	250	1705
128	251	1695
129	252	1687
130	253	1679
131	254	1670
132	255	1662
133	256	1654
134	257	1646
135	257	1638
136	258	1630
137	259	1621
138	260	1613
139	261	1605
140	262	1600
141	263	1592
142	264	1585
143	265	1578
144	266	1571
145	267	1564
146	268	1556
147	269	1549
148	270	1542
149	270	1535
150	271	1528
151	272	1521
152	273	1515
153	274	1509
154	275	1502
155	276	1496
156	277	1491
157	278	1485
158	279	1479
159	280	1473
160	281	1467
161	282	1460
162	283	1455
163	284	1449
164	285	1443
165	286	1437
166	286	1431
167	287	1425
168	288	1420
169	289	1415
170	290	1409
171	291	1404
172	292	1399
173	293	1393
174	294	1387
175	295	1382
176	296	1377
177	297	1371
178	297	1366
179	298	1361
180	299	1354
181	300	1349
182	301	1344
183	302	1339
184	303	1335
185	303	1330
186	304	1325
187	305	1320
188	306	1315
189	307	1310
190	308	1306
191	309	1301
192	310	1296
193	310	1292
194	311	1287
195	312	1283
196	313	1278
197	314	1273
198	315	1269
199	316	1265
200	317	1260
201	317	1255
202	318	1251
203	319	1246
204	320	1242
205	321	1238
206	322	1234
207	323	1230
208	324	1226
209	324	1222
210	325	1218
211	326	1214
212	327	1210
213	328	1206
214	329	1202
215	330	1198
216	331	1194
217	331	1190
218	332	1187
219	333	1183
220	334	1179
221	335	1175
222	336	1172
223	337	1168
224	338	1165
225	339	1161
226	340	1158
227	340	1154
228	341	1150
229	342	1147
230	343	1143
231	344	1140
232	345	1136
233	346	1133
234	347	1130
235	348	1127
236	349	1123
237	349	1120
238	350	1117
239	351	1114
